date,open,high,close,low,volume,amount
2015-12-31,22.16,23.65,23.24,22.16,8596229.0,195815367.0
2015-12-30,22.14,22.22,22.1,21.61,2870990.0,62526494.0
2015-12-29,22.12,22.53,22.03,21.55,5250566.0,113924484.0
2015-12-28,23.47,23.68,22.14,22.11,7179053.0,162194686.0
2015-12-25,23.45,23.57,23.47,23.09,4680090.0,107972478.0
2015-12-24,24.33,24.33,23.31,23.15,7514268.0,174364224.0
2015-12-23,24.25,24.73,24.39,23.94,7010729.0,168390544.0
2015-12-22,24.08,24.38,24.06,23.78,5346038.0,126667858.0
2015-12-21,24.48,25.09,24.19,23.98,6732060.0,162997616.0
2015-12-18,23.81,24.95,24.27,23.71,10923005.0,263906576.0
2015-12-17,22.76,23.62,23.61,22.76,9130561.0,210611488.0
2015-12-16,22.86,22.92,22.47,22.41,4185126.0,93448960.0
2015-12-15,22.5,22.93,22.58,22.27,5079004.0,113433192.0
2015-12-14,21.86,22.57,22.55,21.75,4046354.0,89141536.0
2015-12-11,22.07,22.65,22.14,21.85,4673776.0,102208112.0
2015-12-10,22.11,23.63,22.46,22.1,12818280.0,288627488.0
2015-12-09,21.31,22.13,21.52,21.26,5337013.0,113870310.0
2015-12-08,22.19,22.19,21.3,21.25,6012803.0,128917640.0
2015-12-07,21.7,22.41,22.28,21.34,6312157.0,137147022.0
2015-12-04,21.35,22.14,21.69,21.28,6144224.0,131654864.0
2015-12-03,20.9,21.57,21.43,20.9,3942835.0,83239280.0
2015-12-02,21.55,21.62,21.06,20.54,4477331.0,93420616.0
2015-12-01,20.62,22.26,21.5,20.25,8258376.0,174064786.0
2015-11-30,21.43,22.24,20.66,19.52,8221197.0,167423712.0
2015-11-27,23.62,23.71,21.43,21.42,9664860.0,214986688.0
2015-11-26,24.13,24.36,23.8,23.78,5144629.0,121834528.0
2015-11-25,23.68,24.43,24.12,23.68,6700981.0,159413344.0
2015-11-24,23.53,24.03,23.9,23.13,6518631.0,152319184.0
2015-11-23,24.84,24.9,23.58,23.52,8731213.0,209417280.0
2015-11-20,24.21,24.78,24.48,23.81,10179566.0,244046064.0
2015-11-19,24.0,24.55,24.19,23.28,12066059.0,283441984.0
2015-11-18,26.48,26.59,24.31,24.08,15647300.0,392725632.0
2015-11-17,27.94,28.02,26.39,26.2,16492568.0,436719296.0
2015-11-16,24.8,26.59,26.37,24.38,10645782.0,266073888.0
2015-11-13,24.38,26.66,25.25,24.38,18363120.0,466057728.0
2015-11-12,24.91,24.93,24.31,23.96,12010783.0,289554528.0
2015-11-11,24.48,25.4,24.91,24.08,15167960.0,369692448.0
2015-11-10,23.78,25.08,25.08,23.78,20202020.0,488294048.0
2015-11-09,22.3,23.38,22.81,22.3,10156221.0,229586912.0
2015-11-06,22.44,22.92,22.59,22.26,7435966.0,166579664.0
2015-11-05,22.56,23.42,22.47,22.14,14132634.0,318205568.0
2015-11-04,21.2,22.25,22.11,21.18,10082808.0,217384384.0
2015-11-03,21.14,21.58,21.14,20.23,7249691.0,150339424.0
2015-11-02,20.59,21.55,20.68,20.09,6676737.0,137781904.0
2015-10-30,21.1,21.25,20.85,20.74,6026310.0,125007168.0
2015-10-29,21.27,21.61,21.14,20.89,6735104.0,141717744.0
2015-10-28,22.16,22.38,20.86,20.44,9810062.0,208908528.0
2015-10-27,21.74,22.44,22.04,20.63,10478621.0,223817696.0
2015-10-26,23.59,23.74,22.11,21.31,17848800.0,395230432.0
2015-10-23,21.46,22.69,22.69,20.95,19382384.0,421894176.0
2015-10-22,18.87,20.63,20.63,18.87,13807173.0,276990176.0
2015-10-21,20.19,20.74,18.76,18.44,9271455.0,180806752.0
2015-10-20,20.09,20.63,20.16,19.89,7317873.0,146800416.0
2015-10-19,20.79,20.94,19.86,19.79,10350092.0,207850832.0
2015-10-16,20.56,21.25,20.65,19.73,15950832.0,321383168.0
2015-10-15,18.83,20.44,20.22,18.83,12697731.0,247903008.0
2015-10-14,18.36,20.13,19.1,18.02,17960672.0,337904320.0
2015-10-13,16.81,18.72,18.72,16.8,11654537.0,205262352.0
2015-10-12,16.39,17.38,17.02,16.2,10100185.0,168299216.0
2015-10-09,16.3,16.52,16.38,16.18,4854067.0,78525360.0
2015-10-08,16.22,16.69,16.45,15.94,7555801.0,122136840.0
2015-09-30,15.48,16.04,15.84,15.16,8553149.0,132757128.0
2015-09-29,15.14,16.19,15.65,14.98,7824720.0,122258704.0
2015-09-28,15.13,15.46,15.27,14.47,4144835.0,61587544.0
2015-09-25,15.68,16.14,15.47,15.21,7185997.0,111615096.0
2015-09-24,15.4,15.88,15.57,15.28,5874639.0,90474384.0
2015-09-23,15.12,15.63,15.32,14.77,8427205.0,126748752.0
2015-09-22,14.7,15.37,15.13,14.65,8139943.0,120394264.0
2015-09-21,14.06,14.74,14.7,13.89,6046603.0,86131712.0
2015-09-18,14.27,14.57,14.17,13.67,5927766.0,82652008.0
2015-09-17,14.75,15.53,14.14,14.08,8878316.0,130562016.0
2015-09-16,13.59,14.82,14.82,13.56,7979999.0,111657480.0
2015-09-15,13.9,14.42,13.48,13.25,8058921.0,109603880.0
2015-09-14,16.82,16.84,14.63,14.63,13970177.0,216918128.0
2015-09-11,15.18,16.26,16.26,14.78,11490025.0,175699232.0
2015-09-10,14.16,15.46,14.78,13.96,8193615.0,120783968.0
2015-09-09,14.11,15.05,14.81,14.11,9508247.0,138160864.0
2015-09-08,13.04,14.14,14.02,12.82,6062779.0,81093232.0
2015-09-07,13.07,13.54,12.91,12.78,5249004.0,68232024.0
2015-09-02,12.44,14.28,12.55,12.44,7020174.0,91586072.0
2015-09-01,14.95,14.95,13.62,13.62,7898585.0,108866032.0
2015-08-31,16.32,16.39,15.14,15.13,7984172.0,123432320.0
2015-08-28,15.58,16.65,16.65,15.18,11782760.0,183033120.0
2015-08-27,15.68,16.69,15.14,14.16,13803301.0,208927264.0
2015-08-26,17.2,18.57,15.74,15.74,13031831.0,216271680.0
2015-08-25,17.49,17.49,17.49,17.49,2639300.0,45633496.0
2015-08-24,20.23,20.64,19.44,19.44,5083230.0,98897208.0
2015-08-21,20.86,22.16,21.59,19.41,13819737.0,283016896.0
2015-08-20,21.23,22.94,21.5,20.54,15474626.0,334982080.0
2015-08-19,19.22,21.25,20.85,18.35,12223672.0,235034928.0
2015-08-18,22.66,22.66,20.4,20.4,11021414.0,232212000.0
2015-08-17,21.92,22.75,22.66,21.68,10729851.0,236642688.0
2015-08-14,21.86,23.1,22.2,21.86,15877421.0,352890528.0
2015-08-13,20.47,21.79,21.63,20.25,14530973.0,304143104.0
2015-08-12,19.58,20.88,20.23,19.32,12077027.0,242051456.0
