date,open,high,close,low,volume,amount
2016-09-30,21.19,21.75,21.57,21.13,4898125.0,104964640.0
2016-09-29,20.85,21.85,21.29,20.56,8611468.0,185198917.0
2016-09-28,19.88,20.98,20.86,19.71,9558075.0,195854467.0
2016-09-27,19.3,19.9,19.88,19.29,4292914.0,84054306.0
2016-09-26,21.03,21.1,19.29,19.19,10957526.0,218662445.0
2016-09-23,21.06,21.53,21.19,20.8,5625738.0,119283495.0
2016-09-22,20.95,21.5,21.06,20.94,6375507.0,135210211.0
2016-09-21,20.78,20.96,20.93,20.62,4351718.0,90650552.0
2016-09-20,21.16,21.31,20.8,20.44,9674423.0,200241778.0
2016-09-19,21.95,22.1,21.14,21.1,9228746.0,198250939.0
2016-09-14,21.8,22.06,21.95,21.6,3095812.0,67596046.0
2016-09-13,22.1,22.3,21.92,21.58,6092769.0,133571018.0
2016-09-12,22.5,22.77,21.93,21.5,11309014.0,250437582.0
2016-09-09,23.92,24.06,23.0,22.6,18255994.0,424386576.0
2016-09-08,24.8,24.8,24.22,23.81,13616993.0,330059034.0
2016-09-07,23.2,24.94,24.49,23.0,22862759.0,550558409.0
2016-09-06,22.74,24.07,22.99,22.74,13620503.0,316167958.0
2016-09-05,22.57,23.48,22.76,22.57,10849810.0,249250157.0
2016-09-02,22.33,23.8,22.85,22.33,23397657.0,539925015.0
2016-09-01,20.85,22.86,22.85,20.75,25857799.0,579055512.0
2016-08-31,20.92,20.94,20.78,20.65,2241951.0,46613824.0
2016-08-30,21.12,21.3,20.7,20.61,4232996.0,87943323.0
2016-08-29,21.87,21.87,21.09,21.0,5180700.0,111104145.0
2016-08-26,21.79,21.95,21.76,21.61,3385569.0,73642786.0
2016-08-25,21.8,22.03,21.76,21.53,5086589.0,110701961.0
2016-08-24,21.88,22.38,22.01,21.75,7432139.0,164591395.0
2016-08-23,22.41,22.41,21.54,21.38,5627400.0,123269119.0
2016-08-22,22.08,22.4,22.2,21.8,6499010.0,143396762.0
2016-08-19,22.6,22.6,22.19,21.99,10007153.0,221984510.0
2016-08-18,22.41,23.04,22.69,22.22,15686494.0,354865909.0
2016-08-17,22.51,22.78,22.37,21.83,13720879.0,305487324.0
2016-08-16,21.81,23.0,22.78,21.81,19051498.0,429004032.0
2016-08-15,21.6,22.38,21.99,21.18,14681368.0,322368107.0
2016-08-12,20.77,21.6,21.34,20.71,8277691.0,175808454.0
2016-08-11,21.09,21.25,20.81,20.77,6889468.0,144247508.0
2016-08-10,21.44,21.5,21.01,20.98,7484392.0,158582607.0
2016-08-09,21.14,21.7,21.68,20.8,11589833.0,245653235.0
2016-08-08,21.41,21.55,21.16,20.8,8336175.0,175541008.0
2016-08-05,22.15,22.7,21.66,21.55,13084460.0,289318316.0
